month_after,project_type,value
2017-11-01,n_projects_no_kotlin,455
2017-12-01,n_projects_no_kotlin,458
2018-01-01,n_projects_no_kotlin,462
2018-02-01,n_projects_no_kotlin,465
2018-03-01,n_projects_no_kotlin,467
2018-04-01,n_projects_no_kotlin,471
2018-05-01,n_projects_no_kotlin,476
2018-06-01,n_projects_no_kotlin,482
2018-07-01,n_projects_no_kotlin,485
2018-08-01,n_projects_no_kotlin,492
2018-09-01,n_projects_no_kotlin,497
2018-10-01,n_projects_no_kotlin,500
2018-11-01,n_projects_no_kotlin,504
2018-12-01,n_projects_no_kotlin,508
2019-01-01,n_projects_no_kotlin,514
2019-02-01,n_projects_no_kotlin,518
2019-03-01,n_projects_no_kotlin,521
2019-04-01,n_projects_no_kotlin,523
2019-05-01,n_projects_no_kotlin,526
2019-06-01,n_projects_no_kotlin,534
2019-07-01,n_projects_no_kotlin,534
2019-08-01,n_projects_no_kotlin,537
2019-09-01,n_projects_no_kotlin,542
2019-10-01,n_projects_no_kotlin,544
2019-11-01,n_projects_no_kotlin,547
2019-12-01,n_projects_no_kotlin,548
2020-01-01,n_projects_no_kotlin,550
2020-02-01,n_projects_no_kotlin,551
2020-03-01,n_projects_no_kotlin,554
2020-04-01,n_projects_no_kotlin,556
2020-05-01,n_projects_no_kotlin,561
2020-06-01,n_projects_no_kotlin,563
2020-07-01,n_projects_no_kotlin,567
2020-08-01,n_projects_no_kotlin,571
2020-09-01,n_projects_no_kotlin,574
2020-10-01,n_projects_no_kotlin,575
2020-11-01,n_projects_no_kotlin,579
2020-12-01,n_projects_no_kotlin,579
2021-01-01,n_projects_no_kotlin,581
2021-02-01,n_projects_no_kotlin,584
2021-03-01,n_projects_no_kotlin,585
2021-04-01,n_projects_no_kotlin,586
2021-05-01,n_projects_no_kotlin,589
2021-06-01,n_projects_no_kotlin,594
2021-07-01,n_projects_no_kotlin,595
2021-08-01,n_projects_no_kotlin,595
2021-09-01,n_projects_no_kotlin,596
2021-10-01,n_projects_no_kotlin,596
2021-11-01,n_projects_no_kotlin,598
2021-12-01,n_projects_no_kotlin,598
2022-01-01,n_projects_no_kotlin,599
2022-02-01,n_projects_no_kotlin,600
2022-03-01,n_projects_no_kotlin,600
2022-04-01,n_projects_no_kotlin,603
2022-05-01,n_projects_no_kotlin,603
2022-06-01,n_projects_no_kotlin,605
2022-07-01,n_projects_no_kotlin,608
2022-08-01,n_projects_no_kotlin,609
2022-09-01,n_projects_no_kotlin,609
2022-10-01,n_projects_no_kotlin,610
2022-11-01,n_projects_no_kotlin,610
2022-12-01,n_projects_no_kotlin,613
2023-01-01,n_projects_no_kotlin,613
2023-02-01,n_projects_no_kotlin,614
2023-03-01,n_projects_no_kotlin,614
2023-04-01,n_projects_no_kotlin,614
2023-05-01,n_projects_no_kotlin,614
