month_after,project_type,value
2017-11-01,n_projects_no_kotlin,452
2017-12-01,n_projects_no_kotlin,455
2018-01-01,n_projects_no_kotlin,459
2018-02-01,n_projects_no_kotlin,461
2018-03-01,n_projects_no_kotlin,463
2018-04-01,n_projects_no_kotlin,467
2018-05-01,n_projects_no_kotlin,472
2018-06-01,n_projects_no_kotlin,478
2018-07-01,n_projects_no_kotlin,481
2018-08-01,n_projects_no_kotlin,488
2018-09-01,n_projects_no_kotlin,493
2018-10-01,n_projects_no_kotlin,496
2018-11-01,n_projects_no_kotlin,493
2018-12-01,n_projects_no_kotlin,490
2019-01-01,n_projects_no_kotlin,492
2019-02-01,n_projects_no_kotlin,484
2019-03-01,n_projects_no_kotlin,482
2019-04-01,n_projects_no_kotlin,474
2019-05-01,n_projects_no_kotlin,476
2019-06-01,n_projects_no_kotlin,472
2019-07-01,n_projects_no_kotlin,465
2019-08-01,n_projects_no_kotlin,459
2019-09-01,n_projects_no_kotlin,460
2019-10-01,n_projects_no_kotlin,449
2019-11-01,n_projects_no_kotlin,444
2019-12-01,n_projects_no_kotlin,440
2020-01-01,n_projects_no_kotlin,439
2020-02-01,n_projects_no_kotlin,435
2020-03-01,n_projects_no_kotlin,426
2020-04-01,n_projects_no_kotlin,422
2020-05-01,n_projects_no_kotlin,420
2020-06-01,n_projects_no_kotlin,418
2020-07-01,n_projects_no_kotlin,418
2020-08-01,n_projects_no_kotlin,418
2020-09-01,n_projects_no_kotlin,416
2020-10-01,n_projects_no_kotlin,414
2020-11-01,n_projects_no_kotlin,408
2020-12-01,n_projects_no_kotlin,404
2021-01-01,n_projects_no_kotlin,401
2021-02-01,n_projects_no_kotlin,395
2021-03-01,n_projects_no_kotlin,392
2021-04-01,n_projects_no_kotlin,391
2021-05-01,n_projects_no_kotlin,391
2021-06-01,n_projects_no_kotlin,388
2021-07-01,n_projects_no_kotlin,382
2021-08-01,n_projects_no_kotlin,376
2021-09-01,n_projects_no_kotlin,369
2021-10-01,n_projects_no_kotlin,368
2021-11-01,n_projects_no_kotlin,367
2021-12-01,n_projects_no_kotlin,361
2022-01-01,n_projects_no_kotlin,356
2022-02-01,n_projects_no_kotlin,348
2022-03-01,n_projects_no_kotlin,345
2022-04-01,n_projects_no_kotlin,342
2022-05-01,n_projects_no_kotlin,333
2022-06-01,n_projects_no_kotlin,326
2022-07-01,n_projects_no_kotlin,319
2022-08-01,n_projects_no_kotlin,315
2022-09-01,n_projects_no_kotlin,306
2022-10-01,n_projects_no_kotlin,304
2022-11-01,n_projects_no_kotlin,297
2022-12-01,n_projects_no_kotlin,291
2023-01-01,n_projects_no_kotlin,288
2023-02-01,n_projects_no_kotlin,276
2023-03-01,n_projects_no_kotlin,269
2023-04-01,n_projects_no_kotlin,262
2023-05-01,n_projects_no_kotlin,257
